"BAIRRO","2020-02-04","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-12","2020-03-13","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-25","NA"
"ICARAI","  1","  2","  2","  3","  5","  6","  7","  8"," 11"," 12"," 14"," 17"," 23"," 24"," 28"," 30"," 32"," 33"," 35"," 37"," 41"," 47"," 49"," 55"," 57"," 60"," 60"," 66"," 71"," 74"," 76"," 78"," 80"," 81"," 81"," 87"," 97","106","113","119","122","125","134","137","146","152","161","173","174","186","197","202","219","222","225","228","234","243","257","261","269","271","273","279","282","287","298","300","303","307","313","313","321","322","323","324","335"
"ILHA DA CONCEICAO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 3"," 3"," 3"," 4"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 6"," 9"," 9","10","12","12","14","16","17","19","19","19","19","20","22","22","24","24","24","24","24","24","24","24","24","25"
"INGA"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 3"," 4"," 4"," 4"," 4"," 4"," 5"," 6"," 6"," 6"," 6"," 6"," 7"," 7"," 8"," 9","10","11","11","11","11","14","15","17","19","21","21","22","27","29","30","31","31","32","32","33","35","37","37","37","37","37","40","41","42","43","44","46","46","46","46","46","46","46","46","49"
"ITACOATIARA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","6","6","7","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9"
"ITAIPU"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 2"," 2"," 2"," 3"," 3"," 3"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 5"," 6"," 6"," 8"," 8"," 9","11","11","11","11","11","12","12","15","15","15","17","17","18","18","18","19","19","19","20","22","27","29","31","31","32","32","33","37","39","43","46","46","46","50","50","54","57","57","57","57","57","57","57","57","57","57","58"
"ITITIOCA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 3"," 3"," 3"," 3"," 3"," 4"," 5"," 6"," 6"," 6"," 7"," 7"," 7"," 8"," 8"," 9","10","10","12","12","12","14","14","14","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"JACARE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2"
"JURUJUBA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 7"," 7"," 7"," 7"," 8"," 8"," 9","13","13","13","14","15","15","15","19","22","23","24","25","25","25","25","28","29","29","29","29","29","29","29","29","29","29","29","29"
"LARGO DA BATALHA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 4"," 5"," 6"," 6"," 6"," 6"," 6"," 7"," 7"," 7"," 9"," 9"," 9"," 9"," 9"," 9"," 9"," 9"," 9"," 9","11","11","12","12","13","15","15","15","15","15","19","19","19","19","19","19","19","19","19","19","19","20"
"LARGO DO BARRADAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
