SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)
S	F	M2	4.88	0.44	6.28	-27.78	13.04	874.1	765.6	108.5	18.4
S	F	M2	9.07	0.56	6.33	-28.82	18.76	1027.3	772.3	254.9	24.5
S	F	M2	7.52	0.42	6.33	-28.61	21.12	1006.3	783.6	222.7	16.8
S	F	M2	5.51	0.44	6.47	-27.41	14.69	998.7	912.1	86.6	16.2
S	F	M2	6.93	0.47	6.37	-31.10	17.19	1043.2	933.2	109.9	19.0
S	F	M2	6.29	0.45	6.21	-28.13	16.34	1127.5	956.1	171.4	17.3
S	F	M2	8.35	0.55	6.11	-28.24	17.64	1125.7	908.0	217.7	21.8
S	F	M2	4.89	0.39	6.15	-27.70	14.58	896.4	886.1	10.3	14.1
S	F	M2	6.96	0.48	6.03	-27.76	16.96	1075.3	810.4	264.8	18.4
S	F	M2	8.88	0.55	5.93	-28.98	18.69	1203.6	768.6	435.0	22.4
S	F	M2	8.44	0.54	6.11	-28.82	18.33	1107.9	749.3	358.6	21.6
W	B	M2	14.46	0.70	5.09	-29.03	24.05	1211.9	685.0	526.9	35.9
W	B	M2	12.77	0.71	5.29	-28.52	21.00	1327.6	836.6	491.1	32.7
W	B	M2	12.33	0.68	5.14	-28.55	21.17	1221.8	647.1	574.7	31.2
W	B	M2	11.24	0.62	5.41	-27.93	21.13	1322.6	645.0	677.6	32.8
W	B	M2	13.02	0.69	5.03	-28.70	22.11	1295.4	737.3	558.1	31.3
W	B	M2	11.14	0.68	5.38	-28.38	19.14	1400.7	580.1	820.7	32.8
W	B	M2	11.65	0.67	5.54	-28.60	20.29	1121.6	694.7	427.0	30.8
W	B	M2	13.98	0.67	5.20	-28.73	24.41	1262.4	869.3	393.1	34.6
W	B	M2	12.98	0.67	5.20	-29.18	22.50	1255.0	863.4	391.6	33.8
W	B	M2	13.02	0.64	5.42	-28.41	23.78	1312.4	1043.2	269.2	32.4
W	B	M2	14.89	0.73	4.94	-31.77	23.74	1200.9	918.7	282.1	36.3
W	B	M2	11.81	0.60	4.97	-28.78	22.98	1115.0	946.9	168.1	31.0
W	B	M2	19.65	0.74	4.95	-26.62	30.84	1413.6	919.0	494.7	44.4
W	B	M2	14.01	0.71	5.00	-29.09	23.03	1264.5	1007.3	257.2	35.0
W	B	M2	9.13	0.52	5.35	-27.15	20.55	905.1	688.6	216.5	26.1
W	B	M2	8.83	0.46	5.27	-27.38	22.34	880.8	451.7	429.1	26.4
W	B	M2	9.18	0.48	5.35	-27.28	22.11	900.5	627.0	273.5	26.4
W	F	M2	7.91	0.42	6.55	-26.91	22.13	952.2	640.5	311.6	21.7
W	F	M2	7.21	0.48	6.32	-27.27	17.47	1163.9	962.9	201.0	25.2
W	F	M2	10.27	0.42	6.37	-28.08	28.48	1019.1	853.6	165.5	21.8
W	F	M2	8.00	0.56	6.07	-27.14	16.75	1215.9	839.2	376.7	28.4
W	F	M2	8.39	0.45	6.38	-26.84	21.86	1116.5	699.4	417.1	24.2
W	F	M2	10.87	0.54	6.65	-27.94	23.65	1052.2	694.2	358.0	24.3
W	F	M2	13.98	0.67	5.20	-28.73	24.41	1137.4	832.2	305.1	28.4
W	F	M2	12.98	0.67	5.20	-29.18	22.50	1102.7	750.1	352.6	20.1
W	F	M2	13.02	0.64	5.42	-28.41	23.78	1239.0	676.0	563.0	24.2
W	F	M2	14.89	0.73	4.94	-31.77	23.74	1329.9	763.8	566.1	27.6
W	F	M2	11.81	0.60	4.97	-28.78	22.98	1061.2	816.8	244.4	22.7
W	F	M2	19.65	0.74	4.95	-26.62	30.84	1149.1	1028.8	120.2	23.6
W	F	M2	14.01	0.71	5.00	-29.09	23.03	1140.0	944.6	195.3	18.5
W	F	M2	7.09	0.46	6.79	-26.35	18.08	1202.4	952.7	249.7	23.7
W	F	M2	7.57	0.47	7.04	-26.54	18.67	1059.0	1126.8	67.8	22.4
W	F	M2	6.36	0.45	6.94	-26.38	16.64	1086.4	1140.5	54.1	22.3
W	F	M2	7.81	0.42	6.60	-27.03	21.61	1042.8	1060.0	17.2	21.4
W	F	M2						1026.4	658.9	367.5	22.4
S	B	M3	4.64	0.42	7.50	-25.01	13.00	1129.2	813.3	315.9	19.1
S	B	M3	4.47	0.60	6.93	-22.76	8.70	1080.9	753.3	327.6	18.2
S	B	M3	5.19	0.43	7.10	-24.24	14.21	1036.6	824.0	212.6	18.8
S	B	M3	3.79	0.43	7.00	-22.15	10.36	1092.4	766.8	325.7	17.7
S	B	M3	4.43	0.43	7.13	-21.85	11.94	1128.4	766.1	362.3	17.3
S	B	M3	3.69	0.37	7.52	-21.11	11.56	1001.2	755.2	246.0	17.4
S	B	M3	9.70	0.51	6.30	-24.07	22.24	1266.7	741.0	525.7	22.1
S	B	M3	4.73	0.39	6.78	-11.06	14.00	1186.1	931.1	255.0	20.6
S	B	M3	4.19	0.38	6.18	-9.80	12.74	1102.4	830.6	271.8	19.4
S	B	M3	4.66	0.41	6.15	-10.91	13.31	1120.7	752.0	368.7	18.3
S	B	M3	3.54	0.38	6.84	-8.27	10.92	1156.0	788.8	367.1	17.2
S	B	M3	4.67	0.40	6.99	-10.94	13.51	1158.3	727.4	430.8	17.0
S	B	M3	3.36	0.37	7.10	-7.86	10.66	1149.9	911.9	238.0	17.5
S	B	M3	7.63	0.52	5.63	-17.86	17.18	1098.3	748.3	350.0	21.0
S	B	M3	4.35	0.39	6.89	-27.37	12.87	1028.0	854.4	173.6	19.8
S	B	M3	3.95	0.38	6.70	-22.53	12.06	1080.3	880.5	199.8	18.7
S	B	M3	4.52	0.44	6.75	-24.33	11.96	1150.2	751.4	398.8	23.0
S	F	M3	7.50	0.51	5.31	-26.93	17.07	1342.0	694.4	647.6	24.2
S	F	M3	11.80	0.59	5.20	-27.08	23.23	1315.8	666.0	649.7	29.2
S	F	M3	7.57	0.52	5.03	-23.30	16.91	1331.6	802.5	529.1	26.5
S	F	M3	10.30	0.54	5.20	-26.03	22.25	1223.4	855.8	367.7	23.5
S	F	M3	8.12	0.53	5.20	-24.71	18.03	1288.9	757.6	531.3	25.8
S	F	M3	10.07	0.47	5.48	-27.89	24.79	1085.8	734.7	351.1	25.4
S	F	M3	5.88	0.46	5.70	-21.19	14.88	1167.4	721.9	445.6	23.5
S	F	M3	7.20	0.56	5.43	-22.65	14.98	1347.0	754.8	592.1	25.3
S	F	M3	10.16	0.59	5.10	-25.66	20.06	1254.1	759.3	494.8	26.0
S	F	M3	6.05	0.46	5.49	-20.61	15.37	1275.8	758.3	517.5	25.4
S	F	M3	9.41	0.52	5.59	-33.45	21.26	1330.3	750.4	580.0	24.0
S	F	M3	7.46	0.57	5.20	-17.46	15.35	1329.2	725.4	603.8	25.2
S	F	M3	6.01	0.51	5.34	-14.06	13.74	1189.8	650.9	538.8	23.8
S	F	M3	4.99	0.49	5.38	-11.67	11.79	1072.0	656.8	415.1	21.8
S	F	M3	4.49	0.44	5.84	-10.51	12.04	1068.9	669.4	399.5	22.6
S	F	M3	7.60	0.56	5.21	-17.79	15.93	1132.2	569.2	563.0	22.3
W	B	M3	5.10	0.39	7.72	-23.35	15.32	999.8	840.5	159.3	21.1
W	B	M3	9.47	0.55	6.49	-26.72	20.21	1101.5	869.6	231.9	29.3
W	B	M3	9.38	0.57	6.64	-29.82	19.06	1085.0	857.7	227.3	29.0
W	B	M3	5.88	0.49	7.93	-23.42	14.01	946.8	868.4	78.4	22.3
W	B	M3	5.80	0.45	7.47	-23.75	14.98	1021.6	758.9	262.6	22.7
W	B	M3	6.11	0.54	6.79	-23.12	13.19	1029.7	810.2	219.5	25.0
W	B	M3	6.64	0.48	6.57	-20.74	15.99	960.4	867.5	92.9	25.7
W	B	M3	5.43	0.43	5.98	-22.66	14.61	933.1	783.3	149.8	20.8
W	B	M3	8.40	0.56	6.17	-25.37	17.58	1008.5	802.7	205.8	27.3
W	B	M3	9.09	0.63	5.74	-25.86	16.92	995.0	684.2	310.8	28.8
W	B	M3	5.34	0.45	6.84	-22.30	13.77	959.4	690.5	269.0	21.5
W	B	M3	6.13	0.48	6.21	-23.37	14.79	964.6	752.9	211.6	23.3
W	B	M3	5.75	0.48	6.06	-22.33	13.94	966.9	757.2	209.7	21.9
W	B	M3	6.23	0.46	5.17	-20.92	15.92	1096.5	826.9	269.6	23.8
W	B	M3	4.74	0.42	5.19	-22.72	13.10	992.7	780.0	212.7	19.9
W	B	M3	3.63	0.38	7.32	-21.41	11.07	997.7	721.0	276.6	22.8
W	B	M3	4.02	0.39	7.89	-22.18	12.13	817.1	724.1	93.1	14.7
W	F	M3	4.03	0.42	7.50	-15.84	11.31	982.9	844.1	138.7	19.9
W	F	M3	4.32	0.60	6.93	-14.55	8.41	989.7	882.8	106.8	19.3
W	F	M3	4.48	0.43	7.10	-17.15	12.28	963.6	863.2	100.4	21.3
W	F	M3	4.17	0.43	7.00	-17.03	11.39	1119.5	965.8	153.7	21.1
W	F	M3	5.06	0.43	7.13	-19.52	13.62	1015.7	964.5	51.3	20.8
W	F	M3	3.85	0.37	7.52	-17.62	12.07	950.8	918.0	32.8	17.9
W	F	M3	5.40	0.51	6.30	-18.68	12.38	1033.2	851.5	181.7	21.8
W	F	M3	3.99	0.44	6.81	-13.89	10.65	1041.9	828.0	213.9	18.7
W	F	M3	3.98	0.45	6.92	-12.72	10.41	1034.9	955.3	79.5	18.6
W	F	M3	4.22	0.44	7.03	-14.35	11.24	1048.4	939.7	108.7	19.4
W	F	M3	3.91	0.45	7.73	-14.60	10.20	1012.6	975.6	37.1	18.9
W	F	M3	4.29	0.47	8.07	-14.67	10.76	1092.4	936.7	155.7	19.8
W	F	M3	4.00	0.44	7.39	-17.11	10.54	1024.7	906.3	118.4	18.4
W	F	M3	3.96	0.46	6.02	-11.27	9.98	1005.0	992.2	12.8	20.4
W	F	M3	3.82	0.46	6.56	-11.67	9.74	994.7	893.1	101.6	19.7
W	F	M3	3.83	0.47	6.87	-11.64	9.61	1043.0	981.2	61.9	19.6
W	F	M3	3.95	0.50	7.32	-19.23	9.31	1015.6	971.5	44.1	20.9
