SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)	TOC/TP	TOC/OP
W	U	M1	385.8	10.40	-0.49	-29.02	43.27	908.3	45.93	1092.32	699.2	0.424749532092921	0.353193203456862
W	U	M1	397.7	10.80	-1.31	-29.7	43.14	1083.4	133.48	963.60	635.1	0.367085102455234	0.412723121627231
W	U	M1	370.6	11.20	-1.12	-29.07	38.47	1232.1	139.83	875.17	645.4	0.300787273760247	0.423460584800667
W	U	M1	347.3	11.10	-0.14	-29.15	36.66	1059.4	95.83	884.70	632.2	0.327827071927506	0.392562450548208
W	U	M1	407.2	10.60	NA	-29.62	44.7	948.2	73.01	741.47	605.1	0.429445264712086	0.549179332946714
W	U	M1	423.6	10.60	NA	-29.31	46.68	943.4	58.75	1572.27	623.2	0.449014203943184	0.269419374534908
W	U	M1	385.8	0.00	NA	NA	43.27	1105.7	364.26	1721.90	621.2	0.348919236682644	0.224054823160462
W	U	M1	397.7	10.40	NA	NA	43.14	1652.9	80.61	1717.80	662.9	0.240607417266622	0.231517056700431
W	U	M1	370.6	10.80	NA	NA	38.47	1792.9	71.03	1736.48	640.0	0.206704222209828	0.213420252464756
W	U	M1	347.3	11.20	NA	NA	36.66	1827.6	109.79	1790.57	648.4	0.190030641278179	0.19396058238438
W	U	M1	407.2	11.10	NA	NA	44.7	1864.8	128.33	1609.58	681.1	0.218361218361218	0.25298525081077
W	U	M1	423.6	10.60	NA	NA	46.68	1894.3	103.69	1336.90	670.3	0.223618223090324	0.316853367801235
W	U	M1	385.8	10.60	NA	NA	43.27	1700.2	90.65	NA	648.4	0.226914480649335	
W	U	M1	397.7	10.40	NA	NA	43.14	NA	NA	NA	681.1		
W	U	M1	370.6	0.00	NA	NA	38.47	NA	NA	NA	670.3		
W	U	M1	347.3	0.00	NA	NA	36.66	NA	NA	NA	NA		
W	U	M1	407.2	0.00	NA	NA	44.7	NA	NA	NA	NA		
W	U	M1	423.6	6.20	NA	NA	46.68	NA	NA	NA	NA		
S	U	M1	393	10.80	0.56	-29.79	42.34	1264.7	67.60	993.43	668.1	0.31074563137503	0.395599085994987
S	U	M1	441.4	11.20	0.38	-30.7	45.81	986.5	89.61	1298.80	681.9	0.447440446021287	0.339852171234986
S	U	M1	438.4	10.60	0.09	-31.15	48.12	1102.9	109.50	1113.51	734.4	0.397497506573579	0.39370998015285
S	U	M1	414	11.40	-0.24	-29.79	42.45	1392.1	93.27	1390.74	676.8	0.297392428704834	0.297683247767376
S	U	M1	450.4	11.10	1.42	-30.22	47.22	1143.5	29.98	1011.11	731.3	0.393878443375601	0.445451038957186
S	U	M1	417.6	10.80	1.55	-29.88	45.14	1439.7	48.95	972.10	730.4	0.290060429256095	0.429585433597367
S	U	M1	246.3	11.00	1.46	-30.58	27.3	1023.5	12.36	1199.69	732.0	0.240644846116268	0.205303036617793
S	U	M1	301.8	10.50	-0.66	-30.52	30.15	1064.1	91.99	1158.42	697.0	0.283619960530025	0.260527269902108
S	U	M1	408.6	11.70	-1.28	-30.32	42.69	1266.3	66.57	1192.31	732.3	0.322672352523099	0.342696110910753
S	U	M1	417.9	11.20	0.25	-30.3	41.8	1180.5	22.12	1016.23	732.4	0.354002541296061	0.411225805181898
S	U	M1	404.7	11.70	0.17	-30.14	41.93	1218.6	26.25	1289.07	782.5	0.332102412604628	0.313947264306826
S	U	M1	414.2	11.30	1	-30.17	43.47	1040.2	23.93	1164.20	730.1	0.398192655258604	0.3557814048813
S	U	M1	NA	11.10	NA	NA	NA	1304.7	15.61	NA	759.0		
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA		
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA		
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA		
W	L	M1	88.4	5.70	3.09	-23.8	17.97	915.2	319.51	955.00	277.3	0.096590909090909	0.092565445026178
W	L	M1	103.3	6.10	3.34	-23.97	19.87	924.5	288.38	1016.03	302.8	0.111736073553272	0.101670226272846
W	L	M1	127.6	7.10	3.44	-25.36	21.01	1167.6	212.57	834.76	344.8	0.109284001370332	0.152858306579137
W	L	M1	131.2	7.60	2.52	-25.45	20.1	1251.3	235.28	770.02	343.4	0.104850955006793	0.170385184800395
W	L	M1	100.1	7.40	6.55	-24.08	15.89	1102.2	267.41	721.81	354.0	0.090818363273453	0.138679153793935
W	L	M1	130.9	5.70	2.67	-24.89	26.79	1135.4	365.41	818.44	337.6	0.115289765721332	0.15993841943209
W	L	M1	127.6	7.00	1.9	-25.49	21.23	1160.1	438.32	409.85	347.2	0.109990518058788	0.311333414663901
W	L	M1	139	7.70	1.53	-24.55	21.05	907.4	89.01	548.20	620.6	0.153184923958563	0.253557095950383
W	L	M1	140.1	7.30	2.45	-24.75	22.34	946.2	536.39	491.65	333.4	0.148065948002536	0.284958812163124
W	L	M1	135	7.60	0.61	-25.02	20.62	977.4	429.20	386.13	327.8	0.138121546961326	0.349623183901795
W	L	M1	150.4	8.70	0.19	-25.01	20.29	860.1	368.46	481.34	326.3	0.174863387978142	0.312461046245897
W	L	M1	144	8.00	0.07	-24.81	21.09	974.6	588.47	665.66	346.4	0.147752924276626	0.216326653246402
W	L	M1	117.9	7.60	0.22	-24.53	18.11	987.6	506.26	739.67	315.9	0.119380315917375	0.159395406059459
W	L	M1	110	6.90	1.31	-24.03	18.56	1117.9	452.29	753.80	317.9	0.098398783433223	0.145927301671531
W	L	M1	142	7.00	3.17	-24.94	23.67	1179.7	440.07	473.72	334.7	0.120369585487836	0.299755129612429
W	L	M1	144.1	7.70	NA	-24.84	21.75	1166.4	412.57	NA	347.7	0.123542524005487	
W	L	M1	110.1	8.30	NA	-24.14	15.52	996.8	523.03	NA	345.5	0.110453451043339	
S	L	M1	169.7	9.80	1.85	-26.94	20.18	971.6	143.07	635.56	379.8	0.174660354055167	0.267008622317326
S	L	M1	109.6	6.50	2.41	-25.82	19.67	697.9	268.37	541.66	288.9	0.157042556240149	0.202340951888639
S	L	M1	161.9	9.20	2.59	-31.34	20.61	840.1	204.55	538.00	353.7	0.192715152957981	0.30092936802974
S	L	M1	111.4	7.70	2.56	-25.28	16.77	839.1	297.39	588.25	298.9	0.132761291860327	0.18937526561836
S	L	M1	98.8	6.70	1.47	-25.83	17.14	740	202.02	599.65	285.8	0.133513513513514	0.164762778287334
S	L	M1	99.1	7.10	1.29	-25.5	16.29	863.2	274.97	582.42	274.7	0.114805375347544	0.170152123896844
S	L	M1	98.7	9.70	1.5	-24.72	22.14	827.6	227.97	444.84	285.5	0.119260512324795	0.221877528999191
S	L	M1	183.6	9.20	1.92	-25.85	20.7	929.8	347.35	575.55	378.8	0.197461819746182	0.318999218139171
S	L	M1	162.4	9.20	2.01	-26.81	19.75	905.5	460.61	417.33	350.9	0.179348426283821	0.389140488342559
S	L	M1	155.2	7.90	1.97	-25.58	17.6	958.3	382.71	178.91	347.7	0.161953459250757	0.867475266893969
S	L	M1	118.7	7.90	2.33	-25.78	16.57	881.7	464.34	317.77	335.3	0.134626290121356	0.373540611133839
S	L	M1	112.3	7.40	NA	-25.18	17.6	785.1	606.22	413.13	293.3	0.143039103298943	0.271827269866628
S	L	M1	111.4	6.70	NA	-24.87	16.02	912.8	595.00	NA	276.6	0.122042068361087	
S	L	M1	91.5	0.00	NA	-24.3	NA	803.6	390.46	NA	294.3	0.113862618218019	
S	L	M1	145.3	0.00	NA	-25.82	NA	804.0	NA	NA	NA		
S	L	M1	175.5	0.00	NA	-26.05	NA	854.0	NA	NA	NA		
S	L	M1	NA	0.00	NA	-25.42	NA	904.0	NA	NA	NA		
W	U	M2	144.6	7.00	5.14	-29.03	24.05	1211.9	684.97	574.66	359.5	0.119316775311494	0.251627049037692
W	U	M2	127.7	7.10	5.41	-28.52	21	1327.6	836.57	677.60	327.1	0.096188611027418	0.188459268004723
W	U	M2	123.3	6.80	5.03	-28.55	21.17	1221.8	647.11	558.08	311.6	0.100916680307743	0.220936066513761
W	U	M2	112.4	6.20	5.38	-27.93	21.13	1322.6	645.00	820.68	328.3	0.084984122183578	0.136959594482624
W	U	M2	130.2	6.90	5.54	-28.7	22.11	1295.4	737.27	426.96	313.4	0.100509495136637	0.304946599213041
W	U	M2	111.4	6.80	5.2	-28.38	19.14	1400.7	580.05	393.09	328.4	0.079531662740059	0.283395660026966
W	U	M2	116.5	6.70	5.2	-28.6	20.29	1121.6	694.68	391.60	308.4	0.103869472182596	0.297497446373851
W	U	M2	139.8	6.70	5.42	-28.73	24.41	1262.4	869.34	269.22	346.4	0.11074144486692	0.519277913973702
W	U	M2	129.8	6.70	4.94	-29.18	22.5	1255	863.41	282.14	337.6	0.103426294820717	0.460055291699157
W	U	M2	130.2	6.40	4.97	-28.41	23.78	1312.4	1043.19	168.10	324.0	0.099207558671137	0.774538964901844
W	U	M2	148.9	7.30	4.95	-31.77	23.74	1200.9	918.74	494.66	363.4	0.1239903405779	0.301014838474912
W	U	M2	118.1	6.00	5	-28.78	22.98	1115	946.90	257.21	309.8	0.105919282511211	0.459157886551845
W	U	M2	196.5	7.40	5.35	-26.62	30.84	1413.6	918.98	216.54	444.0	0.139006791171477	0.907453588251593
W	U	M2	140.1	7.10	5.27	-29.09	23.03	1264.5	1007.29	429.11	350.4	0.11079478054567	0.326489711262846
W	U	M2	91.3	5.20	5.35	-27.15	20.55	905.1	688.59	273.46	261.1	0.1008728317313	0.333869670152856
W	U	M2	88.3	4.60	NA	-27.38	22.34	880.8	451.72	NA	264.1	0.100249772933697	
W	U	M2	91.8	0.00	NA	-27.28	22.11	900.5	627.03	NA	263.5	0.101943364797335	
S	U	M2	134.5	9.20	3.39	-28.42	17.15	1302.4	687.33	523.73	344.4	0.103270884520885	0.256811715960514
S	U	M2	128.9	8.80	3.38	-28.07	17.15	1375	804.53	629.81	330.9	0.093745454545455	0.204664898937775
S	U	M2	139	8.90	3.49	-28.33	18.27	1323.3	799.61	566.41	339.8	0.105040429229955	0.24540527179958
S	U	M2	141.2	8.90	3.62	-28.41	18.52	1395.2	765.35	784.46	360.2	0.101204128440367	0.179996430665681
S	U	M2	147.6	8.70	3.36	-28.19	19.98	1267.3	700.93	595.28	339.7	0.116468081748599	0.247950544281683
S	U	M2	149	8.60	3.36	-28.68	19.5	1483.4	698.97	575.42	327.1	0.100444923823648	0.258941295054047
S	U	M2	155	8.90	3.43	-28.46	18.89	1378.3	782.99	761.33	351.2	0.112457375027207	0.203591084024011
S	U	M2	147.2	9.60	3.41	-27.89	19.3	1372.5	797.10	869.99	412.8	0.107249544626594	0.169197347095944
S	U	M2	160.4	8.90	3.37	-27.99	19.34	1519.5	758.21	912.13	329.3	0.105561039815729	0.17585212634164
S	U	M2	158.6	9.70	3.56	-28.79	18.92	1544.3	674.32	822.54	344.3	0.102700252541605	0.192817370583801
S	U	M2	144.2	9.80	3.09	-28.22	18.14	1621.5	709.38	778.51	346.2	0.088930003083565	0.185225623306059
S	U	M2	167.5	9.30	3.08	-29	19.71	1539.7	717.16	818.67	336.7	0.108787426121972	0.204600144136221
S	U	M2	152.2	9.90	3.21	-28.62	18.81	1479.9	701.40	836.15	341.1	0.10284478680992	0.182024756323626
S	U	M2	168.3	9.40	3.08	-28.31	19.56	1501.2	682.55	645.74	349.5	0.1121103117506	0.26063121380122
S	U	M2	154.6	10.00	3.07	-28.4	17.41	1415.2	579.03	656.03	373.1	0.109242509892595	0.235659954575248
S	U	M2	169	10.40	NA	-28.65	19.39	1396.7	751.01	703.63	370.2	0.120999498818644	0.24018223151748
S	U	M2	NA	10.20	NA	NA	NA	1340.6	684.58	NA	360.3		
W	L	M2	69.9	4.20	6.37	-26.87	22.13	952.2	640.54	165.51	216.5	0.073408947700063	0.422330976980243
W	L	M2	79.1	4.80	6.07	-26.91	17.47	1163.9	962.89	376.72	251.9	0.067961165048544	0.209970269696326
W	L	M2	72.1	4.20	6.38	-27.27	16.75	1019.1	853.55	417.11	218.4	0.070748699833186	0.172856081129678
W	L	M2	102.7	5.60	6.65	-28.08	21.86	1215.9	839.17	358.03	284.0	0.084464182909779	0.286847470882328
W	L	M2	80	4.50	6.27	-27.14	23.65	1116.5	699.41	305.13	242.1	0.071652485445589	0.262183331694687
W	L	M2	83.9	5.40	7	-26.84	13.21	1052.2	694.19	352.55	242.8	0.079737692453906	0.237980428308041
W	L	M2	108.7	5.50	6.55	-27.94	23	1137.4	832.23	563.01	283.6	0.09556884121681	0.193069394859772
W	L	M2	62	4.70	6.99	-25.9	27.18	1102.7	750.15	566.06	200.5	0.05622562800399	0.109529025191676
W	L	M2	91.8	4.70	6.34	-27.53	20.76	1239	675.95	244.40	242.1	0.07409200968523	0.375613747954173
W	L	M2	109.4	4.40	7.23	-28.45	18.53	1329.9	763.79	120.21	275.8	0.082261824197308	0.910074037101739
W	L	M2	78	5.30	7.06	-27.29	16.36	1061.2	816.84	195.33	227.3	0.073501696192989	0.399324220549839
