SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)	TOC/TP	TOC/OP
W	L	M2	84.8	3.80	6.79	-26.98	19.35	1149.1	1028.84	249.75	236.1	0.073796884518319	0.33953953953954
W	L	M2	52.6	4.90	7.04	-28.41	18.08	1140	944.63	367.49	184.8	0.046140350877193	0.143133146480176
W	L	M2	81.8	4.60	6.94	-27.06	18.67	1202.4	952.66	NA	237.4	0.068030605455755	
W	L	M2	75.7	4.70	6.6	-26.35	16.64	1059	1126.79	NA	223.5	0.07148253068933	
W	L	M2	63.6	4.50	NA	-26.54	21.61	1086.4	1140.48	NA	223.0	0.058541973490427	
W	L	M2	78.1	4.20	NA	-26.38	NA	1042.8	1060.00	NA	213.6	0.074894514767933	
W	L	M2	NA	NA	NA	-27.03	NA	NA	NA	NA	NA		
S	L	M2	64	4.60	5.92	-28.1	16.15	1026.4	658.87	120.52	224.1	0.062353858144973	0.531032193826751
S	L	M2	56.9	4.20	6.49	-27.83	15.86	1700.2	90.65	172.27	670.3	0.033466650982237	0.330295466418993
S	L	M2	65.1	4.20	6.88	-27.89	17.88	925.5	762.48	300.90	163.7	0.07034035656402	0.216350947158524
S	L	M2	58.8	4.50	6.28	-27.75	15.39	918.4	797.83	108.48	170.0	0.064024390243903	0.542035398230088
S	L	M2	77.8	5.30	6.33	-28.3	17.24	1009.1	836.80	254.92	174.2	0.077098404518878	0.305193786285894
S	L	M2	48.8	4.40	6.33	-27.78	13.04	1134.4	833.51	222.72	211.7	0.043018335684062	0.219109195402299
S	L	M2	90.7	5.60	6.47	-28.82	18.76	874.1	765.63	86.61	184.0	0.103763871410594	1.04722318438979
S	L	M2	75.2	4.20	6.37	-28.61	21.12	1027.3	772.35	109.95	245.2	0.073201596417794	0.683947248749431
S	L	M2	55.1	4.40	6.21	-27.41	14.69	1006.3	783.60	171.43	168.2	0.054755043227666	0.321413988216765
S	L	M2	69.3	4.70	6.11	-31.1	17.19	998.7	912.07	217.74	161.5	0.06939020726945	0.318269495728851
S	L	M2	62.9	4.50	6.15	-28.13	16.34	1043.2	933.22	10.27	189.5	0.060295245398773	6.12463485881207
S	L	M2	83.5	5.50	6.03	-28.24	17.64	1127.5	956.05	264.83	172.9	0.074057649667406	0.315296605369482
S	L	M2	48.9	3.90	5.93	-27.7	14.58	1125.7	907.99	435.01	218.1	0.043439637558852	0.112411208937726
S	L	M2	69.6	4.80	6.11	-27.76	16.96	896.4	886.12	358.65	140.8	0.07764390896921	0.194061062317022
S	L	M2	88.8	5.50	NA	-28.98	18.69	1075.3	810.43	NA	183.9	0.082581605133451	
S	L	M2	84.4	5.40	NA	-28.82	18.33	1203.6	768.58	NA	223.6	0.070122964440013	
S	L	M2	NA	0.00	NA	NA	NA	1107.9	749.27	NA	215.7		
W	U	M3	51	3.90	6.64	-23.35	15.32	999.8	840.47	227.27	210.8	0.051010202040408	0.224402692832314
W	U	M3	94.7	5.50	7.93	-26.72	20.21	1101.5	869.63	78.41	292.7	0.085973672265093	1.20775411299579
W	U	M3	93.8	5.70	7.47	-23.42	19.06	1085	857.70	262.64	290.3	0.086451612903226	0.357142857142857
W	U	M3	58.8	4.90	6.79	-23.75	14.01	946.8	868.42	219.48	223.5	0.062103929024081	0.267905959540733
W	U	M3	58	4.50	6.57	-23.12	14.98	1021.6	758.91	92.87	226.7	0.056773688332028	0.624528911381501
W	U	M3	61.1	5.40	5.98	-20.74	13.19	1029.7	810.20	149.78	249.8	0.059337671166359	0.407931633061824
W	U	M3	66.4	4.80	6.17	-22.66	15.99	960.4	867.49	205.80	257.2	0.069137859225323	0.322643343051506
W	U	M3	54.3	4.30	5.74	-25.37	14.61	933.1	783.31	310.80	208.3	0.058193119708499	0.174710424710425
W	U	M3	84	5.60	6.84	-25.86	17.58	1008.5	802.69	268.98	272.7	0.08329201784829	0.312290876645104
W	U	M3	90.9	6.30	6.21	-22.3	16.92	995	684.23	211.64	287.7	0.091356783919598	0.42950292950293
W	U	M3	53.4	4.50	6.06	-23.37	13.77	959.4	690.46	209.71	214.9	0.055659787367105	0.254637356349244
W	U	M3	61.3	4.80	5.17	-22.33	14.79	964.6	752.92	269.61	233.3	0.063549657889281	0.227365453803642
W	U	M3	57.5	4.80	5.19	-20.92	13.94	966.9	757.17	212.65	218.7	0.059468404178302	0.270397366564778
W	U	M3	62.3	4.60	7.32	-22.72	15.92	1096.5	826.85	276.64	237.7	0.056817145462836	0.225202429149798
W	U	M3	47.4	4.20	7.89	-21.41	13.1	992.7	780.02	93.06	199.4	0.047748564521003	0.509348807221148
W	U	M3	36.3	3.80	NA	-22.18	11.07	997.7	721.04	NA	228.3	0.03638368246968	
W	U	M3	40.2	3.90	NA	NA	12.13	817.1	724.09	NA	147.0	0.049198384530657	
S	U	M3	46.4	4.20	7.1	-25.01	13	1129.2	813.26	212.56	191.0	0.04109103790294	0.218291305984193
S	U	M3	44.7	6.00	7	-22.76	8.7	1080.9	753.32	325.66	181.6	0.0413544268665	0.137259718725051
S	U	M3	51.9	4.30	7.13	-24.24	14.21	1036.6	824.03	362.25	188.1	0.050067528458422	0.143271221532091
S	U	M3	37.9	4.30	7.52	-22.15	10.36	1092.4	766.78	245.96	177.4	0.03469425119004	0.154090095950561
S	U	M3	44.3	4.30	6.3	-21.85	11.94	1128.4	766.13	525.73	173.1	0.039259127968805	0.084263785593365
S	U	M3	36.9	3.70	6.78	-21.11	11.56	1001.2	755.22	254.98	174.1	0.036855773072313	0.144717232724135
S	U	M3	97	5.10	6.18	-24.07	22.24	1266.7	741.01	271.80	221.2	0.076576932185995	0.356880058866814
S	U	M3	47.3	3.90	6.15	-17.86	12.74	1186.1	931.09	368.67	205.7	0.03987859371048	0.128299020804514
S	U	M3	41.9	3.80	6.84	-27.37	13.31	1102.4	830.56	367.13	194.5	0.038007982583454	0.114128510336938
S	U	M3	46.6	4.10	6.99	-22.53	10.92	1120.7	751.99	430.84	182.9	0.041581154635496	0.108160802153932
S	U	M3	35.4	3.80	7.1	-24.33	13.51	1156	788.83	238.02	172.4	0.030622837370242	0.148726997731283
S	U	M3	46.7	4.00	5.63	NA	10.66	1158.3	727.43	349.98	169.9	0.040317706984374	0.133436196354077
S	U	M3	33.6	3.70	6.89	NA	17.18	1149.9	911.85	173.64	174.7	0.029219932168015	0.193503800967519
S	U	M3	76.3	5.20	6.7	NA	12.87	1098.3	748.35	199.78	210.4	0.069471000637349	0.381920112123336
S	U	M3	43.5	3.90	6.75	NA	12.06	1028	854.40	398.82	198.1	0.042315175097276	0.109071761697006
S	U	M3	39.5	3.80	NA	NA	11.96	1080.3	880.50	NA	186.9	0.036563917430344	
S	U	M3	45.2	4.40	NA	NA	NA	1150.2	751.41	NA	229.9	0.039297513475917	
W	L	M3	40.3	4.20	7.1	-15.84	11.31	982.9	844.12	100.43	199.0	0.041001119137247	0.401274519565867
W	L	M3	43.2	6.00	7	-14.55	8.41	989.7	882.84	153.74	192.9	0.043649590785086	0.280993885781189
W	L	M3	44.8	4.30	7.13	-17.15	12.28	963.6	863.20	51.27	212.7	0.046492320464923	0.8738053442559
W	L	M3	41.7	4.30	7.52	-17.03	11.39	1119.5	965.75	32.76	211.0	0.037248771773113	1.27289377289377
W	L	M3	50.6	4.30	6.3	-19.52	13.62	1015.7	964.46	181.72	208.5	0.049817859604214	0.278450363196126
W	L	M3	38.5	3.70	6.81	-17.62	12.07	950.8	918.03	213.90	179.1	0.040492217080353	0.179990649836372
W	L	M3	54	5.10	6.92	-18.68	12.38	1033.2	851.49	79.55	218.5	0.052264808362369	0.678818353236958
W	L	M3	39.9	4.40	7.03	-13.89	10.65	1041.9	828.02	108.69	186.8	0.038295421825511	0.367099089152636
W	L	M3	39.8	4.50	7.73	-12.72	10.41	1034.9	955.31	37.07	185.8	0.038457822011789	1.07364445643377
W	L	M3	42.2	4.40	8.07	-14.35	11.24	1048.4	939.68	155.66	194.4	0.040251812285387	0.271103687524091
W	L	M3	39.1	4.50	7.39	-14.6	10.2	1012.6	975.57	118.40	189.1	0.038613470274541	0.330236486486486
W	L	M3	42.9	4.70	6.02	-14.67	10.76	1092.4	936.73	12.82	198.0	0.039271329183449	3.34633385335413
W	L	M3	40	4.40	6.56	-17.11	10.54	1024.7	906.31	101.57	184.5	0.039035815360593	0.39381707197007
W	L	M3	39.6	4.60	6.87	-11.27	9.98	1005	992.17	61.86	203.8	0.039402985074627	0.640155189136761
W	L	M3	38.2	4.60	7.32	-11.67	9.74	994.7	893.09	44.09	196.8	0.038403538755404	0.866409616693128
W	L	M3	38.3	4.70	NA	-11.64	9.61	1043	981.17	NA	196.1	0.036720997123682	
W	L	M3	39.5	5.00	NA	-19.23	9.31	1015.6	971.51	NA	208.9	0.038893265064986	
S	L	M3	75	5.10	5.03	-26.93	17.07	1342	694.43	529.13	242.5	0.055886736214605	0.141742104964753
S	L	M3	118	5.90	5.2	-27.08	23.23	1315.8	666.02	367.65	291.6	0.08967928256574	0.320957432340541
S	L	M3	75.7	5.20	5.2	-23.3	16.91	1331.6	802.45	531.29	264.9	0.056848903574647	0.142483389485968
S	L	M3	103	5.40	5.48	-26.03	22.25	1223.4	855.77	351.09	234.7	0.084191597188164	0.293372069839642
S	L	M3	81.2	5.30	5.7	-24.71	18.03	1288.9	757.62	445.58	257.7	0.062999456901234	0.182234391130661
S	L	M3	100.7	4.70	5.43	-27.89	24.79	1085.8	734.67	592.14	254.5	0.092742678209615	0.170061134191239
S	L	M3	58.8	4.60	5.1	-21.19	14.88	1167.4	721.87	494.75	235.0	0.050368339900634	0.118847902981304
S	L	M3	72	5.60	5.49	-22.65	14.98	1347	754.84	517.53	253.4	0.053452115812918	0.139122369717698
S	L	M3	101.6	5.90	5.59	-25.66	20.06	1254.1	759.35	579.97	260.2	0.081014273183957	0.175181474903874
S	L	M3	60.5	4.60	5.2	-20.61	15.37	1275.8	758.28	603.78	254.2	0.047421225897476	0.100202060353109
S	L	M3	94.1	5.20	5.34	-33.45	21.26	1330.3	750.36	538.83	239.9	0.070735924227618	0.174637640814357
S	L	M3	74.6	5.70	5.38	NA	15.35	1329.2	725.38	415.12	251.8	0.05612398435149	0.17970707265369
S	L	M3	60.1	5.10	5.84	NA	13.74	1189.8	650.93	399.50	238.3	0.050512691208607	0.150438047559449
S	L	M3	49.9	4.90	5.21	NA	11.79	1072	656.83	563.01	218.0	0.046548507462687	0.088630752562122
S	L	M3	44.9	4.40	NA	NA	12.04	1068.9	669.38	NA	226.0	0.042005800355506	
S	L	M3	76	5.60	NA	NA	15.93	1132.2	569.24	NA	222.8	0.067125949478891	
