NOME,2020.04.02,04.04.2020,08.04.2020,14.04.2020,15.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,24.04.2020,25.05.2020,26.04.2020,27.04.2020,29.04.2020,01.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,11.05.2020,29.05.2020,30.05.2020,31.05.2020,01.06.2020,02.06.2020,04.06.2020,05.06.2020,06.06.2020,07.06.2020,08.06.2020,09.06.2020,10.06.2020,13.06.2020,14.06.2020,15.06.2020,16.06.2020,17.06.2020,18.06.2020,19.06.2020,20.06.2020,21.06.2020,22.06.2020,23.06.2020,24.06.2020,25.06.2020,26.06.2020,29.06.2020,30.06.2020,01.07.2020,02.07.2020,03.07.2020,04.07.2020,05.07.2020,06.07.2020,07.07.2020,08.07.2020,09.07.2020,10.07.2020,11.07.2020
ITITIOCA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,6,6,7,10,26,31,36,38,45,47,49,56,56,56,56,58,61,61,61,66,69,71,71,74,80,81,81,82,82,87,91,92,95,95,97,101,103,103,103,106,111,111,111
JACARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,10,10,10,10,10,11,11,11,11,11,11,11,11,12
JARDIM IMBUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JURUJUBA,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,7,10,37,43,41,47,52,56,56,56,56,57,57,61,67,68,68,71,71,75,75,75,76,78,78,78,78,84,88,88,91,91,93,94,97,97,97,98,98,99,101
LARGO DA BATALHA,0,0,2,2,1,0,1,1,1,1,2,2,2,2,2,3,6,7,7,7,8,12,34,40,41,48,48,52,54,56,56,57,56,64,69,69,70,72,72,73,73,78,78,80,85,89,89,91,108,108,110,115,116,118,118,118,120,120,125,126,129
MACEIO,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,4,5,5,9,8,19,21,32,34,38,41,42,42,42,42,42,43,46,47,47,47,50,50,50,60,61,66,71,72,73,79,86,86,89,89,92,96,98,98,99,103,103,106,107
MARAVISTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,14,17,18,19,21,21,22,22,22,22,24,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,27,28,28,28,28,28,30,30,30,30,32
MARIA PAULA,1,3,2,2,3,0,3,3,4,3,3,3,3,3,3,4,7,10,11,14,14,14,31,36,40,40,46,47,47,47,48,49,48,50,51,51,51,51,53,51,51,53,54,58,58,58,58,61,67,71,73,74,75,75,75,75,79,82,82,83,88
MATAPACA,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,5,5,5,5,9,10,15,16,18,18,19,19,19,21,20,23,25,26,26,28,28,28,28,28,28,29,30,30,30,31,32,32,32,32,32,32,32,32,33,35,35,37,37
MORRO DO ESTADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,54,56,56,56,56,56,56,58
MURIQUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
PE PEQUENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,15,15,15,15
CANTAGALO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,47,58,69,69,74,83,87,87,87,87,90,90,96,96,97,100,102,102,102,110,110,111,112,114,114,114,121,121,122,122,129,136,138,138,143,146,146,149,151
PIRATININGA,1,1,2,2,6,6,6,6,6,6,6,7,7,7,7,10,15,17,23,27,27,35,112,122,123,148,153,178,179,179,180,180,180,192,204,206,206,206,208,214,214,219,223,225,228,230,230,243,245,250,260,273,273,273,278,283,295,296,301,306,316
PONTA D AREIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,25,29,31,31,36,36,38,38,38,38,38,38,38,39,39,39,41,43,43,44,44,44,44,45,45,46,53,57,60,61,62,65,65,66,68,68,68,71,76
RIO DO OURO,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,6,7,8,8,8,9,10,11,11,11,12,12,13,13,13,13,13,13,13,16,16,17,17,17,17,17,19,20,21,21,22,22,22,22,22,24,24,24,27
SANTA BARBARA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,10,10,9,46,58,62,76,82,90,90,90,92,92,90,99,100,100,101,110,116,116,116,118,138,138,143,145,150,152,156,158,159,159,159,161,161,161,161,163,163,164,172
SANTA ROSA,5,5,6,13,15,15,15,15,16,17,17,17,18,18,22,30,33,40,46,52,54,57,164,180,180,202,204,235,235,235,245,245,246,256,274,274,275,277,287,289,289,294,298,299,300,304,324,324,328,335,346,360,381,382,390,397,400,424,424,429,436
SANTANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,9,10,10,10,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,17,17,19,19,19,19,19,19,19,23,23,23,25
SANTO ANTONIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAO DOMINGOS,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,4,4,4,5,23,29,36,36,40,41,43,43,43,44,46,46,50,51,51,51,53,53,58,58,59,59,60,61,61,62,68,68,69,70,70,70,70,70,70,70,70,70,72
SAO FRANCISCO,0,0,3,5,5,6,6,6,3,5,6,6,7,7,7,7,16,21,24,35,34,37,77,85,85,95,95,102,102,102,104,105,104,108,113,113,114,114,117,117,122,127,127,127,131,131,135,140,151,155,157,158,158,162,167,168,177,185,185,188,193
SAO LOURENCO,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,6,7,6,6,19,21,27,28,32,35,39,41,41,41,41,41,43,43,43,43,43,43,43,44,46,46,46,46,46,48,52,54,54,54,54,55,55,55,57,57,57,57,60
SAPE,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2,2,4,4,7,6,7,30,34,43,47,53,54,54,55,55,55,58,63,71,72,72,72,75,75,80,85,85,88,95,95,99,102,107,109,114,116,118,122,124,124,126,127,129,133,137
SERRA GRANDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,6,6,6,14,14,14,15,15,17,17,17,17,17,17,17,20,20,20,20,21,21,26,26,31,31,31,31,31,32,32,34,33,33,33,37,39,39,41,41,41,41,42
TENENTE JARDIM,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,6,4,2,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,11,15,15,17,17,18,20,20,20,20,20,21,22,22
VARZEA DAS MOCAS,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,14,19,20,20,21,23,23,23,27,27,27,27,33,33,33,33,33,33,34,38,38,38,39,40,41,42,45,46,46,46,46,46,46,46,46,47,52,54,56
VICOSO JARDIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,10,10,11,11,11,11,11,11,16,19,19,20,20,20,9,21,23,23,23,23,23,23,24,24,30,30,30,30,30
VILA PROGRESSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,5,7,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,14,14,14,14,14,14,14,16,16,17,17
VIRADOURO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10
VITAL BRAZIL,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,7,7,7,7,14,14,18,19,21,21,23,23,23,23,24,24,25,25,25,29,29,29,31,31,32,32,32,32,32,32,34,34,35,35,36,37,38,38,41,42,42,45,46
NITEROI (TOTAL),64,86,108,154,177,186,196,199,227,237,243,256,260,266,275,332,409,528,623,731,757,876,2247,2522,2716,2846,3112,3389,3471,3515,3571,3599,3620,3725,3970,4012,4022,4067,4142,4182,4230,4357,4438,4505,4252,4661,4750,4859,5181,5256,,,,,,,,,,,
